questions,answers
where to go in london england?,"Regent's Park, Tower of London, Buckingham Palace, Palace of Westminster, London Eye, Tower Bridge, Hyde Park, Westminster Abbey, St Paul's Cathedral, Trafalgar Square"
what school did joan miro attend?,Cercle Artístic de Sant Lluc
where to get married in jacksonville nc?,"Atlantic Beach, Jacksonville Beach, Baldwin, St. Johns River, Masonic Temple, Lewis Mausoleum, EverBank Field, Jacksonville Veterans Memorial Arena, Morocco Temple, El Modelo Block"
what time zone am i in michigan?,North American Eastern Time Zone
when did the new york knicks win a championship?,"1970 NBA Finals, 1973 NBA Finals"
what was woodrow wilson's major accomplishments?,"United States Secretary of Agriculture, Governor of New Jersey, President of the United States"
where is jack daniels factory?,Tennessee
what language do the speak in pakistan?,"English Language, Urdu Language"
where is santa clara university?,"United States of America, California, Santa Clara"
where did timothy mcveigh go to prison?,Terre Haute
what sea does the yangtze river flow into?,East China Sea
who miley cyrus engaged to?,Liam Hemsworth
what is charles darwin famous for?,Evolution
what kind of money should i take to jamaica?,Jamaican dollar
who is robert downey jr wife?,Susan Downey
where do the ny rangers play?,Madison Square Garden
where is jefferson davis buried?,Hollywood Cemetery
what years have the dallas cowboys won the superbowl?,"Super Bowl XXVIII, Super Bowl XXVII, Super Bowl VI, Super Bowl XXX, Super Bowl XII"
what awards has louis sachar won?,"National Book Award for Young People's Literature, Anne V. Zarrow Award for Young Readers' Literature, Dorothy Canfield Fisher Children's Book Award, Newbery Medal"
who are the current senators from missouri?,Claire McCaskill
what is the best currency to take to egypt 2013?,Egyptian pound
what are the countries in the united kingdom?,"Wales, England, Scotland, Northern Ireland"
what planes does the navy have?,LTV A-7 Corsair II
where did benjamin franklin died?,Philadelphia
what to do in cancun with family?,"Belize Barrier Reef, Ik Kil, Isla Contoy, Xcaret Park, Chichen Itza, Xel-Ha Park, Sistema Dos Ojos, Coba, Delphinus Dreams, Cancun Underwater Museum"
what is the local language of israel?,Hebrew Language
what city and state was the air force academy established?,"El Paso County, United States of America, Colorado, Colorado Springs"
what's the national sport of puerto rico?,"Puerto Rico men's national volleyball team, Puerto Rico women's national volleyball team, Puerto Rico national football team"
what did shawnee smith play in?,"The Grudge 3, Saw IV, Summer School, Saw II, Saw III, The Island, Saw, The Blob, Who's Harry Crumb?"
what countries did queen victoria reign over?,United Kingdom
where did dr seuss go to school?,"Dartmouth College, University of Oxford, Lincoln College, Oxford"
what team does luis suarez play for?,Liverpool F.C.
what high school did tim allen go to?,Seaholm High School
what is the world's tallest building in dubai called?,Burj Khalifa
where does asiana airlines fly to?,"John F. Kennedy International Airport, Sydney Airport"
where did martin luther king got shot?,Memphis
where to visit near bangkok?,"MRT Blue Line, Wat Benchamabophit, Grand Palace, Ananta Samakhom Throne Hall, Wat Saket, Khaosan Road, Bangkok National Museum, Samutprakarn Crocodile Farm and Zoo, Wat Pho, Wat Arun"
who does christina milian have a baby by?,The-Dream
what year did tut became king?,Eighteenth Dynasty of Egypt
who has been married to julia roberts?,"Daniel Moder, Lyle Lovett"
where do baltimore ravens play?,M&T Bank Stadium
where does the un get its funding?,United Nations Security Council
who does brandon dubinsky play for?,New York Rangers
what is the dominant language in israel?,Hebrew Language
what are the main languages of nigeria?,"Ibibio Language, Efik Language, Hausa Language, English Language, Idoma Language, Igbo Language, Fula language, Naki Language, Yoruba Language, Izon Language"
what jobs did ben franklin do?,"Diplomat, Statesman, Politician, Political activist, Author, Writer, Printer, Scientist, Librarian, Inventor"
what bible does the catholic church follow?,"Book of Nehemiah, The Bible, New Testament, Old Testament"
who did rufus wainwright married?,Jörn Weisbrodt
where did c.s. lewis go to college?,"Malvern College, Campbell College, University of Oxford, University College, Oxford"
what did nick clegg study at university?,"Political philosophy, Social anthropology"
what school did cassie bernall go to?,Columbine High School
what movie did james frey write?,"Sugar: The Fall of the West, Kissing a Fool"
what did rob kardashian get surgery for?,Appendicitis
what did st. matthew do?,The Gospel According to Matthew
what was nelson mandela's religion?,Methodism
who will win the 2011 nhl stanley cup?,Canada
what is henry clay known for?,Lawyer
who did axl rose marry?,Erin Everly
what is the money of spain called?,Euro
where are sunbeam microwaves made?,Florida
who was elected president of the philippines?,"Carlos P. Garcia, Corazon Aquino, Diosdado Macapagal, Gloria Macapagal-Arroyo, Fidel V. Ramos, Elpidio Quirino, Ramon Magsaysay, Ferdinand Marcos, Sergio Osmeña, Joseph Estrada"
what cities does ryanair fly to?,"Bergamo, Derry, Oslo, Cork, Dublin, Barcelona, Bratislava, Nottingham, Alicante, London, Stockholm, Carcassonne, Faro"
what currency does ontario canada use?,Canadian dollar
what instrument does justin bieber?,"guitar, Piano, trumpet, Drums"
what team did shaq play for first?,Orlando Magic
who do derek fisher play for?,Los Angeles Lakers
where did the casey anthony case take place?,Orlando
where did pres clinton go to college?,"University College, Oxford, Ramble Elementary, Yale Law School, Hot Springs High School, Georgetown University Law Center, Edmund A. Walsh School of Foreign Service, St. John's Catholic Elementary School"
what was the name of the original seattle baseball team?,Seattle Mariners
what type of monarchy did england have?,Constitutional monarchy
when were the texas rangers started?,1972
where did the houston oilers football team go?,Tennessee Titans
what do they call football in spanish?,XHVG-FM
where does niles crane live?,Seattle
where was gabriel faure born?,France
who is the governor of kentucky 2012?,Steve Beshear
who is the senator of the united states 2010?,Jefferson Sessions
what is the postcode for london?,"E15 4HT, W1F 0HS, W11 3JS, E5 8BP, SW1P 2PD, NW1 3HB, E6 6ER, W1W5BD, WC1X 8RA, SE1 7JW"
who killed vincent chin dvd?,"Ronald Ebens, Michael Nitz"
what other books did jules verne wrote?,"Off on a Comet, Five Weeks in a Balloon, Gil Braltar, Paris in the Twentieth Century, The Child of the Cavern, Tribulations of a Chinaman in China, The Mysterious Island, The Adventures of Captain Hatteras, Facing the Flag, The Begum's Fortune"
what language does fiji?,"Fiji Hindi, English Language, Fijian Language"
what is the second percy jackson book called?,The Sea of Monsters
what did gregor mendel conducted his experiments on?,Experiments in plant hybridisation
who did jon gosselin cheat with?,Deanna Hummel
where is jay cutler now?,Chicago Bears
what are eu countries?,"Czech Republic, Estonia, Denmark, Finland, France, Austria, Germany, Belgium, Cyprus, Bulgaria"
what influenced vincent van gogh work?,"Jozef Israëls, Paul Cézanne, Anton Mauve, Peter Paul Rubens, Jean-François Millet, Willem Roelofs, Eugène Delacroix, Claude Monet, Rembrandt"
what time zones are there in the us?,"North American Eastern Time Zone, UTC−06:00, Mountain Time Zone, Hawaii–Aleutian Time Zone, Pacific Time Zone, Samoa Time Zone, Alaska Time Zone, UTC-5, Atlantic Time Zone, Central Time Zone"
what language do australian people speak?,"Lojban, Esperanto Language, English Language"
who did ben stiller play in megamind?,Bernard
what countries did queen victoria rule?,"United Kingdom, British Raj"
who are betty white's parents?,"Tess Curtis Cachikis, Horace Lawrence White"
who does david james play for 2011?,Bristol City F.C.
what was the purpose of the 1964 gulf of tonkin resolution?,Yen Bai mutiny
what movies did diana ross play in?,The Wiz
what country is the west bank located in?,Palestinian National Authority
who won golden boot?,Lionel Messi
where did jane mansfield die?,Slidell
where is the thames river located?,London
what school did william shakespeare attend?,"King Edward VI School, Stratford-upon-Avon"
what money do they use in chile?,Chilean peso
what college did peyton manning?,University of Tennessee
what are the 2 conferences in the nfl?,"National Football Conference, NFL Films, American Football Conference"
when is portland marathon?,Zora Lancaster
what character does ellen play in finding nemo?,Dory
when was the last time the ny giants were in the super bowl?,Super Bowl XXV
what are all the names of harry potter?,"Harry Potter and the Half-Blood Prince, Harry Potter and the Deathly Hallows, Harry Potter and the Goblet of Fire, Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Order of the Phoenix, Harry Potter and the Prisoner of Azkaban"
which airport is best to fly into milan?,"Il Caravaggio International Airport, Malpensa Airport, Linate Airport"
where did matthias schleiden go to school?,Ruprecht Karl University of Heidelberg
what county is rihanna from?,"Saint Michael Parish, Barbados"
what country is located in the balkan peninsula?,"Lake Prespa, Kosovo, Republic of Macedonia, Montenegro, Macedonia, Kingdom of Serbia, Albania, Federal Republic of Yugoslavia, Small Prespa Lake, Republic of Serbian Krajina Government in Exile"
what 6 states border south dakota?,"Iowa, North Dakota, Wyoming, Minnesota, Nebraska, Montana"
what are the main languages spoken in spain?,Spanish Language
what songs did mozart write?,1034 Mozartia
who is the new senator of montana?,Jon Tester
which airport to fly in rome?,"Ciampino – G.B. Pastine International Airport, Rome Viterbo Airport, Italian Met Office Airport, Leonardo da Vinci–Fiumicino Airport, Urbe Airport"
where are the ruins of pompeii?,Pompeii and the Roman Villa: Art and Culture around the Bay of Naples
what language people speak in afghanistan?,"Pashto language, Farsi, Eastern Language"
what cities should i visit in california?,"Colusa County, San Bernardino County, Contra Costa County, El Dorado County, Alameda County, Calaveras County, Del Norte County, Alpine County, Amador County, Rancho Cucamonga"
where was princess leia raised?,Polis Massa
what is the name of the pittsburgh steelers head coach?,Mike Tomlin
when does canada's wonderland close?,"Émilie Heymans, Blythe Hartley"
what countries share borders with france?,"Italy, Monaco, Luxembourg, Andorra, Switzerland, Germany, Bay of Biscay, Belgium, Piedmont, Spain"
what did patrick swayze sing?,She's Like The Wind
what style of art is salvador dali?,"Painting, Photography, Sculpture, Drawing"
what did george v die of?,Euthanasia
what are the three major rivers in south america?,Yisrael Mordecai Safeek
what other discoveries did isaac newton discover?,Reflecting telescope
who started pixar?,"Edwin Catmull, Steve Jobs"
what political party was lincoln?,"Illinois Republican Party, Republican Party, National Union Party, Whig Party"
what would have happened if germany had won ww1?,de
what kind of government is china?,"Single-party state, Communist state, Socialist state"
where is the nation of greece located?,"Europe, Eurasia, Southeast Europe"
what year was the new york blackout?,New York City blackout of 1977
which countries have english as native language?,"Canada, Australia, Kingdom of Great Britain, United States of America, United Kingdom, Ireland, New Zealand"
what position does rafael furcal play?,"Second baseman, Shortstop"
what are major exports of the usa?,"Pharmaceutical Preparations, Food, Industrial Organic Chemicals, NEC, Automobile"
where is whistler mountain located?,British Columbia
what currency do i need in cuba?,"Cuban peso, Cuban convertible peso"
what country did james cook come from?,Kingdom of Great Britain
what sport does rebecca adlington compete in?,Swimming
when did the christchurch quake happened?,2011 Christchurch earthquake
what other countries does canada trade with?,"United Kingdom, Japan, United States of America"
what to see in singapore at night?,"Kampung Days, Tiger Sky Tower, Singapore Zoo, Telok Ayer Market, Former Saint Joseph's Institution, Armenian Church, Singapore, Singapore Flyer, Kong Meng San Phor Kark See Monastery, Sri Mariamman Temple, Singapore, Jurong BirdPark"
what is james madison most famous for?,President of the United States
who did the maccabees revolted against?,Seleucid Empire
where was the battle of antietam creek?,"Pennsylvania, Maryland"
during what war did abraham lincoln serve as president?,American Civil War
where is she from shakira?,Colombia
who plays captain kirk in 2009?,Chris Pine
who did hera marry?,Zeus
what type of guitar does kirk hammett play?,"guitar, Sitar, Bass guitar"
what to do with kids in denver today?,"Black American West Museum & Heritage Center, Denver Firefighters Museum, Colorado State Capitol, Denver Mint, Molly Brown House, Forney Transportation Museum, Denver Botanic Gardens, Museum of Contemporary Art Denver, Denver Museum of Nature and Science, Chamberlin Observatory"
what money does jamaica use?,Jamaican dollar
what year did william mckinley became president?,1897
what timezone is colorado in right now?,"Mountain Time Zone, UTC−07:00"
who owns aston martin 2012?,David Richards
what disease has jack osbourne got?,Multiple sclerosis
what do the islamic believe?,Muslims
what language they speak in taiwan?,Standard Mandarin
who owns the toronto maple leafs?,Maple Leaf Sports & Entertainment
what county is novato california in?,Marin County
what are the basic beliefs of sikhism?,"Saṃsāra, Dharma, Reincarnation, Monotheism, Karma, Pyaar"
who was liz taylor married too?,Richard Burton
where was the ancient region of mesopotamia?,Middle East
who was real housewives brandi married to?,Eddie Cibrian
when did the charlotte bobcats first play in the nba?,2004 NBA Draft
which city held the summer olympics twice?,Olympic games
who are the green bay packers owned by?,Green Bay Packers Board of Directors
what inspired langston hughes to write poetry?,Walt Whitman
when was the last time the orioles had a winning season?,1983 World Series
what does australia export?,"Energy, Agriculture"
where did henry knox die?,Thomaston
who was the queen of the iceni tribe?,Boudica
who is married to garry trudeau?,Jane Pauley
where does norway get their oil?,Barents Euro-Arctic Council
what language do they speak in northern ireland?,"Irish, English Language, Ulster Scots dialects"
what countries make up continental europe?,"United Kingdom, Albania, Finland, San Marino, France, Andorra, Liechtenstein, Georgia, Germany, Belgium"
what did johnny crawford sing?,"Judy Loves Me, Your Nose Is Gonna Grow, Rumors, Rumours, Daydreams, Maybe It's You, Cindy's Gonna Cry, Cindy's Birthday, Patti Ann"
what did abraham lincoln do before he was president?,"Statesman, Politician, Lawyer"
what sport does sally pearson compete in?,Track and field athlete
where is atlanta texas located?,Cass County
what movies did madonna appear in?,"Shadows and Fog, A League of Their Own, Evita, Four Rooms, Arthur and the Invisibles, Dangerous Game, Dick Tracy, A Certain Sacrifice, Who's That Girl?, Body of Evidence"
where does leland chapman live now?,Kailua
where was the roman colosseum located?,Rome
what invention did henry ford invent?,Ford Motor Company
what time zone is new york under?,North American Eastern Time Zone
when did mayans predict end of the world?,2012
what is the name of the book hitler wrote while in prison?,Mein Kampf
what albert einstein do for math?,Mathematician
where did bashar al assad study?,University of Damascus
who plays lois lane in superman returns?,Kate Bosworth
what did joseph lister do for science?,Listerine
who uses new king james bible?,Christianity
what films did charlie chaplin direct?,A King in New York
who does lea michele dating in real life?,Cory Monteith
when did joe walsh leave the eagles?,1980
who does billy beane work for now?,Oakland Athletics
what subatomic particles did jj thomson discover?,Electron
what films have taylor lautner been in?,"New Moon, He's a Bully, Charlie Brown, Eclipse, Cheaper by the Dozen 2, Incarceron, The Adventures of Sharkboy and Lavagirl, Dear Eleanor, Abduction, Shadow Fury, Field of Dreams 2: Lockout"
what country is the name natalie from?,United States of America
who played the voice of aladdin?,Scott Weinger
what exactly did dale earnhardt die from?,Traffic collision
what year did miami heat win the championship?,"2012 NBA Finals, 2006 NBA Finals"
who was emperor diocletian?,Roman emperor
who is chelsea kane?,Singer
who is darwin and what is his theory?,Naturalist
what did obama study in school?,Political Science
who is the new governor of oregon?,John Kitzhaber
what continent is south africa part of?,Africa
who was michael jackson's best friend?,"Elizabeth Taylor, Al Sharpton, Uri Geller, Brooke Shields, Elton John"
what movies has taylor lautner been in 2011?,"New Moon, Eclipse, The Twilight Saga, Abduction, Twilight, The Twilight Saga: Breaking Dawn - Part 2"
what company did henry ford work for?,Ford Motor Company
what happened to thomas cromwell's children?,"Gregory Cromwell, 1st Baron Cromwell"
where indian ocean is located?,South Asia
what year did the orioles win 100 games?,1970 World Series
who was mary's mother?,Saint Anne
where is american express located?,"New York City, Wilmington"
what is the china money called?,Renminbi
where is the howard university located?,"United States of America, Washington, D.C."
where did terrell owens get traded to?,Philadelphia Eagles
what do catholics call their god?,"God, Holy Spirit, The Father, Jesus Christ"
what is the capital of alaska state?,Juneau
what college did jeff corwin go to?,Bridgewater State College
who speaks farsi?,"Canada, Afghanistan, Iran, Oman, Uzbekistan, Bahrain, Iraq, Tajikistan"
who was neptune discovered by?,"John Couch Adams, Dr Galle, Urbain Le Verrier, Heinrich Louis d'Arrest, Johann Gottfried Galle"
who were the major trade partners of russia?,Uzbekistan
where did nathaniel hawthorne die?,Plymouth
where did jack johnson go to high school?,Kahuku High & Intermediate School
who played maxie jones on general hospital?,Kirsten Storms
what are buddhist gods?,Āgama
who influenced wolfgang amadeus mozart?,"Carl Philipp Emanuel Bach, Johann Sebastian Bach, George Frideric Handel, Joseph Haydn, Michael Haydn"
when was the last dallas cowboys super bowl win?,Super Bowl XXX
what language do they speak in iceland wikipedia?,Icelandic Language
when did the bali bombings occur?,2002 Bali bombings
what is the political system in south africa?,Parliamentary republic
what is the currency in croatia 2012?,Croatian kuna
where did joe montana go to high school?,Ringgold High School
where is the nation of palestine?,"Eurasia, Near East, Middle East, Levant, Eastern Mediterranean"
what are the greek titans?,Titanium
what countries speak english primarily?,"Canada, Australia, Kingdom of Great Britain, United States of America, United Kingdom, Ireland, New Zealand"
what states does the missouri river touch?,"South Dakota, Iowa, North Dakota, Kansas, Illinois, Nebraska, Montana, Missouri"
where was leonardo da vinci when he died?,Amboise
what money do japanese use?,Japanese yen
what is the time zone in oklahoma city?,Central Time Zone
what kind of government did the mali empire have?,Republic
what is the religion of israel people?,Judaism
what is mount st helens?,"Stratovolcano, Volcano"
what airport is closest to sandals grande in st lucia?,George F. L. Charles Airport
where does drew gordon play?,Utah Jazz
who was the first russian president?,Dmitry Medvedev
what language does people in netherlands speak?,"Frisian languages, West Flemish, Dutch Language"
what type of language does china speak?,"Nepali Language, Standard Tibetan, Chinese language, Zhuang languages, Korean Language, English Language, Esperanto Language, Mongolian language, Portuguese Language, Cantonese"
who is esther hicks?,"Writer, Author"
what does michael vick do?,American football player
in which province is johannesburg?,Gauteng
where was john lennon standing when he was shot?,New York City
who voiced darth vader in revenge of the sith?,Hayden Christensen
what type of art is henri matisse famous for?,"Sculpture, Printmaking, Collage, Painting, Drawing"
what to do in laughlin nevada?,"Riverside Resort Hotel & Casino, Harrah's Laughlin, Edgewater Hotel and Casino"
where to ski in andorra reviews?,Ordino-Arcalis Ski Area
who was louis riel?,Politician
what are the four nations of the uk?,"Scotland, England, Wales, Northern Ireland"
who was judy garland married to?,"Mark Herron, Sidney Luft, David Rose, Mickey Deans, Vincente Minnelli"
what disease did helen keller?,Deafness
what is the name of money in brazil?,Brazilian real
what year did lakers win championship?,"1985 NBA Finals, 1948 NBL Finals, 1954 NBA Finals, 1972 NBA Finals, 1949 BAA Finals, 1952 NBA Finals, 1980 NBA Finals, 1950 NBA Finals, 1953 NBA Finals, 1982 NBA Finals"
what did coolidge believe with regards to the role of government?,"Parties do not maintain themselves. They are maintained by effort. The government is not self-existent. It is maintained by the effort of those who believe in it. The people of America believe in American institutions, the American form of government and the American method of transacting business."
what type of government did england have during the glorious revolution?,Constitutional monarchy
who played dumbledore in the first movie?,Richard Harris
where was greenpeace an international environmental organization founded?,Vancouver
what does roger that mean?,American Dad!
what sports do they do in canada?,"Canada national baseball team, Canada national rugby union team, Canada women's national volleyball team, Canada men's national soccer team, Canadian national bandy team, Canada national badminton team, Canada men's national volleyball team, Canadian women's cricket team, A1 Team Canada, Northwind"
who was the first leader of the afl?,"Bud Adams, Lamar Hunt"
who is the arizona cardinals football coach?,Bruce Arians
where was the battle of waterloo held?,Waterloo
what was marilyn monroe known for?,"Singer, Nude Glamour Model, Film Producer, Actor, Showgirl, Model, Pin-up girl"
what has barack obama done wrong?,"""""President Obama appears to me to have elevated and implemented the artist-activist concept to the role of empowered servant-leader..."""""
which is faster amd dual core or intel dual core?,Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company
who are the colorado eagles?,Ice Hockey
what time period did jesus live in?,4 BCE
where does lala anthony live?,Brooklyn
what currency do they accept in kenya?,Kenyan shilling
what currency is used in switzerland 2012?,Swiss franc
what do they speak in iran?,"Turkmen Language, Pashto language, Kurdish language, Gilaki Language, Assyrian Neo-Aramaic Language, Azerbaijani language, Armenian Language, Persian Language, Mazanderani Language, Luri language"
who did ayrton senna drive for?,Lotus Cars
what happened to madonna childhood home?,iPartyRadio.com: The #1 Party Authority
where was brad pitt born?,Shawnee
what position does vernon davis play?,Tight end
where is the euro 2012 tournament?,"Italy, Portugal, Finland, Luxembourg, France, Slovenia, Austria, Germany, Greece, Spain"
what to see and do in malta?,"Casa Rocca Piccola, Dingli Cliffs, Gozo 360° Multivision Show, The Armoury and the Maritime Museum, National Museum of Fine Arts, Malta, National Museum of Archaeology, Malta, Fort Rinella, Megalithic Temples of Malta, St. Paul's Catacombs, Manoel Theatre"
where did dolly parton grew up?,Sevierville
what state is rick santorum from?,Pennsylvania
what countries does queen elizabeth ii reign?,"Queen of Tuvalu, Queen of the United Kingdom, Queen of New Zealand, Queen of the Bahamas, Queen of Antigua and Barbuda, Queen of Australia, Queen of Jamaica, Queen of Barbados, Queen of Canada"
what is jonas brothers names?,"Nick Jonas, Kevin Jonas, Joe Jonas"
what art movements was henri matisse involved in?,"Fauvism, Impressionism, Neo-impressionism, Modernism"
what are some famous tourist attractions in germany?,Topography of Terror
who's kobe bryant?,Basketball player
what countries did czechoslovakia become?,"Slovakia, Czech Republic"
what songs did richard marx write?,Dance with My Father
what did ryan dunn died from?,Traffic collision
what war was george washington associated with?,American Revolutionary War
where tupac grew up?,East Harlem
where did al capone go to jail?,"United States Penitentiary, Alcatraz Island, United States Penitentiary, Atlanta, Federal Correctional Institution, Terminal Island"
what type of music did richard wagner play?,"Opera, Classical music, Romantic music"
what team did tim tebow play for in college?,Florida Gators football
what airport in paris?,"Beauvais-Tillé Airport, Charles de Gaulle Airport, Orly Air Base, Paris Orly Airport"
what nationality was andy williams?,United States of America
where did matthew brady live?,New York City
who are the broncos players?,"Wesley Woodyard, Peyton Manning, Joe Mays, Knowshon Moreno, Joel Dreessen, Mario Fannin, Manuel Ramírez, Tracy Porter, Andre Caldwell, Jacob Tamme"
where do most of the people live in japan?,Tokyo
in what country do they speak basque?,"Spain, France"
where is belgium at?,Western Europe
what government system does north korea have?,"Single-party state, Socialist state, People's Republic, Juche, Unitary state"
what did einstein do?,Theoretical Physicist
in what country is amsterdam?,Netherlands
what are the most common religions in the united states?,"Unitarian Universalism, Judaism, Christianity, Atheism, Buddhism, Hinduism, Islam"
what made jimi hendrix great?,guitar
who did aaron rodgers play college football 4?,"University of California, Berkeley"
who plays nathan scott?,James Lafferty
where is mount whitney?,"Sierra Nevada, California"
who created the character of romeo?,William Shakespeare
what are some places to visit in new york?,"Chelsea Art Museum, Brooklyn Bridge, Empire State Building, The Broadway Theatre, American Museum of Natural History, Central Park, St. Patrick's Cathedral, Japan Society of New York, FusionArts Museum, American Folk Art Museum"
what are the countries and capitals of central america?,"Honduras, El Salvador, Panama, Costa Rica, Guatemala, Gran Colombia, Belize"
what animal is on the western australian flag?,Black Swan
where did drew stanton play in college?,Michigan State University
what is kareem abdul jabbar real name?,"Ferdinand Lewis Alcindor, Sr."
what countries fall in eastern europe?,"Southern Carpathians, Caucasus, Belarusian Central Rada, Kresy, Kievan Rus', Grand Duchy of Lithuania, Kingdom of Romania, Moldova, Belarusian People's Republic, Second Polish Republic"
who is the prime minister of ethiopia now?,Meles Zenawi
when was mary poppins made?,1964
what did king edward vi died from?,Tuberculosis
what did robert boyle accomplish?,Boyle's law
where is napoleon buried?,"Les Invalides, Longwood"
what language do people speak in iceland?,Icelandic Language
who sang at the mtv movie awards 2011?,"Twisted Sister, Suicidal Tendencies, Guns N' Roses, Red Hot Chili Peppers, AC/DC, Nirvana, Run-D.M.C., Ice Cube, The Offspring, Metallica"
what is the new york knicks starting lineup?,"Raymond Felton, Marcus Camby, J. R. Smith, Tyson Chandler, Carmelo Anthony, Iman Shumpert, Jason Kidd, Steve Novak, Chris Copeland, Pablo Prigioni"
what to see and do in galway ireland?,"Galway City Museum, Taibhdhearc na Gaillimhe, Spanish Arch, Cathedral of Our Lady Assumed into Heaven and St Nicholas, Galway, Galway Sportsgrounds, Hotel Meyrick, Eyre Square, St. Nicholas' Collegiate Church, National University of Ireland, Galway, Galway Arts Festival"
what year did brandon roy get drafted?,2006 NBA Draft
what are the names of michael jackson children?,"Paris-Michael Katherine Jackson, Prince Michael Jackson I, Prince Michael Jackson II"
what book did niccolo machiavelli write?,The Prince
what religions are found in australia?,"Catholicism, Buddhism, Islam, Anglicanism"
what college did drew bledsoe?,Washington State University
where is the mtv headquarters?,New York City
what is guatemala current system of government?,"Constitutional republic, Presidential system, Unitary state"
what is anderson silva trained in?,Mixed Martial Artist
what caused the asian currency crisis?,Asian Affairs
which countries does russia border?,"Ukraine, Belarus, Kazakhstan, Poland, Lithuania, Azerbaijan, Mongolia, North Korea, Georgia, Norway"
what did emily dickinson die of?,Bright's disease
who was king or queen after james i?,Charles I of England
who played lois lane in superman 1?,Margot Kidder
where is st vincent de paul buried?,Paris
what language do fiji people speak?,"Fiji Hindi, English Language, Fijian Language"
what victoria beckham kids names?,"Romeo Beckham, Cruz Beckham, Harper Beckham, Brooklyn Beckham"
where is new york in the map?,New York City
what did jimmy valvano die with?,Cancer
what teams did charles barkley?,"Philadelphia 76ers, Houston Rockets, Phoenix Suns"
